[2026-06-13 18:38:14] ADMIN: Importación masiva de estado JSON consolidado completada exitosamente.
[2026-06-13 18:38:16] ADMIN: Importación masiva de estado JSON consolidado completada exitosamente.
[2026-06-13 18:54:56] ADMIN: Equipos personalizados guardados - Partido: 73, Eq1: Group A 2nd Place, Eq2: Group B 2nd Place
[2026-06-13 18:54:56] ADMIN: Equipos personalizados guardados - Partido: 76, Eq1: Group C Winner, Eq2: Group F 2nd Place
[2026-06-13 18:54:56] ADMIN: Equipos personalizados guardados - Partido: 74, Eq1: Group E Winner, Eq2: Third Place Group A/B/C/D/F
[2026-06-13 18:54:56] ADMIN: Equipos personalizados guardados - Partido: 75, Eq1: Group F Winner, Eq2: Group C 2nd Place
[2026-06-13 18:54:56] ADMIN: Equipos personalizados guardados - Partido: 78, Eq1: Group E 2nd Place, Eq2: Group I 2nd Place
[2026-06-13 18:54:56] ADMIN: Equipos personalizados guardados - Partido: 77, Eq1: Group I Winner, Eq2: Third Place Group C/D/F/G/H
[2026-06-13 18:54:57] ADMIN: Equipos personalizados guardados - Partido: 79, Eq1: Group A Winner, Eq2: Third Place Group C/E/F/H/I
[2026-06-13 18:54:57] ADMIN: Equipos personalizados guardados - Partido: 80, Eq1: Group L Winner, Eq2: Third Place Group E/H/I/J/K
[2026-06-13 18:54:57] ADMIN: Equipos personalizados guardados - Partido: 82, Eq1: Group G Winner, Eq2: Third Place Group A/E/H/I/J
[2026-06-13 18:54:57] ADMIN: Equipos personalizados guardados - Partido: 81, Eq1: Group D Winner, Eq2: Third Place Group B/E/F/I/J
[2026-06-13 18:54:58] ADMIN: Equipos personalizados guardados - Partido: 84, Eq1: Group H Winner, Eq2: Group J 2nd Place
[2026-06-13 18:55:48] ADMIN: Equipos personalizados guardados - Partido: 83, Eq1: Group K 2nd Place, Eq2: Group L 2nd Place
[2026-06-13 18:55:48] ADMIN: Equipos personalizados guardados - Partido: 85, Eq1: Group B Winner, Eq2: Third Place Group E/F/G/I/J
[2026-06-13 18:55:48] ADMIN: Equipos personalizados guardados - Partido: 88, Eq1: Group D 2nd Place, Eq2: Group G 2nd Place
[2026-06-13 18:55:48] ADMIN: Equipos personalizados guardados - Partido: 86, Eq1: Group J Winner, Eq2: Group H 2nd Place
[2026-06-13 18:55:48] ADMIN: Equipos personalizados guardados - Partido: 87, Eq1: Group K Winner, Eq2: Third Place Group D/E/I/J/L
[2026-06-13 18:55:49] ADMIN: Equipos personalizados guardados - Partido: 90, Eq1: Round of 32 1 Winner, Eq2: Round of 32 3 Winner
[2026-06-13 18:55:49] ADMIN: Equipos personalizados guardados - Partido: 89, Eq1: Round of 32 2 Winner, Eq2: Round of 32 5 Winner
[2026-06-13 18:55:49] ADMIN: Equipos personalizados guardados - Partido: 91, Eq1: Round of 32 4 Winner, Eq2: Round of 32 6 Winner
[2026-06-13 18:55:49] ADMIN: Equipos personalizados guardados - Partido: 92, Eq1: Round of 32 7 Winner, Eq2: Round of 32 8 Winner
[2026-06-13 18:55:49] ADMIN: Equipos personalizados guardados - Partido: 93, Eq1: Round of 32 11 Winner, Eq2: Round of 32 12 Winner
[2026-06-13 18:55:49] ADMIN: Equipos personalizados guardados - Partido: 94, Eq1: Round of 32 9 Winner, Eq2: Round of 32 10 Winner
[2026-06-13 18:55:49] ADMIN: Equipos personalizados guardados - Partido: 95, Eq1: Round of 32 14 Winner, Eq2: Round of 32 16 Winner
[2026-06-13 18:55:50] ADMIN: Equipos personalizados guardados - Partido: 96, Eq1: Round of 32 13 Winner, Eq2: Round of 32 15 Winner
[2026-06-13 18:55:50] ADMIN: Equipos personalizados guardados - Partido: 97, Eq1: Round of 16 1 Winner, Eq2: Round of 16 2 Winner
[2026-06-13 18:55:50] ADMIN: Equipos personalizados guardados - Partido: 98, Eq1: Round of 16 5 Winner, Eq2: Round of 16 6 Winner
[2026-06-13 18:55:50] ADMIN: Equipos personalizados guardados - Partido: 99, Eq1: Round of 16 3 Winner, Eq2: Round of 16 4 Winner
[2026-06-13 18:55:50] ADMIN: Equipos personalizados guardados - Partido: 100, Eq1: Round of 16 7 Winner, Eq2: Round of 16 8 Winner
[2026-06-13 18:56:22] Pronóstico guardado - Jugador: 1781052521483, Partido: 8, Marcador: 0- (unlocked: no)
[2026-06-13 18:56:25] Pronóstico guardado - Jugador: 1781052521483, Partido: 8, Marcador: 0-2 (unlocked: no)
[2026-06-13 18:56:42] Pronóstico guardado - Jugador: 1781052521483, Partido: 13, Marcador: 3- (unlocked: no)
[2026-06-13 18:56:46] Pronóstico guardado - Jugador: 1781052521483, Partido: 13, Marcador: 3-1 (unlocked: no)
[2026-06-13 18:57:14] Pronóstico guardado - Jugador: 1781052521483, Partido: 14, Marcador: -2 (unlocked: no)
[2026-06-13 18:57:18] Pronóstico guardado - Jugador: 1781052521483, Partido: 14, Marcador: 0-2 (unlocked: no)
[2026-06-13 18:57:20] Pronóstico guardado - Jugador: 1781052568919, Partido: 8, Marcador: 3- (unlocked: no)
[2026-06-13 18:57:22] Pronóstico guardado - Jugador: 1781052568919, Partido: 8, Marcador: 3-1 (unlocked: no)
[2026-06-13 18:57:26] Pronóstico guardado - Jugador: 1781052568919, Partido: 13, Marcador: 3- (unlocked: no)
[2026-06-13 18:57:28] Pronóstico guardado - Jugador: 1781052568919, Partido: 13, Marcador: 3-2 (unlocked: no)
[2026-06-13 18:57:30] Pronóstico guardado - Jugador: 1781052521483, Partido: 20, Marcador: -1 (unlocked: no)
[2026-06-13 18:57:33] Pronóstico guardado - Jugador: 1781052521483, Partido: 20, Marcador: 0-1 (unlocked: no)
[2026-06-13 18:57:34] Pronóstico guardado - Jugador: 1781052568919, Partido: 14, Marcador: 2- (unlocked: no)
[2026-06-13 18:57:35] Pronóstico guardado - Jugador: 1781052568919, Partido: 14, Marcador: 2-3 (unlocked: no)
[2026-06-13 18:57:38] Pronóstico guardado - Jugador: 1781052568919, Partido: 20, Marcador: 2- (unlocked: no)
[2026-06-13 18:57:39] Pronóstico guardado - Jugador: 1781052568919, Partido: 20, Marcador: 2-2 (unlocked: no)
[2026-06-13 18:57:43] Pronóstico guardado - Jugador: 1781052568919, Partido: 25, Marcador: 4- (unlocked: no)
[2026-06-13 18:57:50] Pronóstico guardado - Jugador: 1781052568919, Partido: 25, Marcador: 4-0 (unlocked: no)
[2026-06-13 18:57:55] Pronóstico guardado - Jugador: 1781052568919, Partido: 31, Marcador: 3- (unlocked: no)
[2026-06-13 18:57:56] Pronóstico guardado - Jugador: 1781052568919, Partido: 31, Marcador: 3-2 (unlocked: no)
